 DWS  (NON TE Data )Revenues,Service,Operator,Date,FY Budget,YTD Budget,YTD Actual,Year,Month,Day
 Infrastructure Revenues,,,2017/Jun/1,163272594,163272594,169025575,2017,Jun,1
 Transmission Revenues,,,2017/Jun/1,117321783,117321783,116422413,2017,Jun,1
MNO's Transmission,,,2017/Jun/1,92032420,92032420,87632604,2017,Jun,1
Orange,MNO's Transmission,Orange,2017/Jun/1,36413283,36413283,30766337,2017,Jun,1
Vodafone,MNO's Transmission,Vodafone,2017/Jun/1,44883545,44883545,46829908,2017,Jun,1
Etisalat,MNO's Transmission,Etisalat,2017/Jun/1,10735593,10735593,10036359,2017,Jun,1
TX IRU ,,,2017/Jun/1,0,0,0,2017,Jun,1
Orange,TX IRU ,Orange,2017/Jun/1,0,0,0,2017,Jun,1
Vodafone,TX IRU ,Vodafone,2017/Jun/1,0,0,0,2017,Jun,1
Etisalat,TX IRU ,Etisalat,2017/Jun/1,0,0,0,2017,Jun,1
ISP's Transmission ,,,2017/Jun/1,25289362,25289362,28789810,2017,Jun,1
Orange Data,ISP's Transmission ,Orange,2017/Jun/1,12957387,12957387,13529083,2017,Jun,1
Vodafone Data,ISP's Transmission ,Vodafone,2017/Jun/1,4271398,4271398,7876639,2017,Jun,1
NOL,ISP's Transmission ,Etisalat,2017/Jun/1,2616494,2616494,4627975,2017,Jun,1
EGY Net,ISP's Transmission ,Etisalat,2017/Jun/1,3598709,3598709,964602,2017,Jun,1
Noor,ISP's Transmission ,Others,2017/Jun/1,1277492,1277492,1751182,2017,Jun,1
Yalla Misr,ISP's Transmission ,Others,2017/Jun/1,567882,567882,40329,2017,Jun,1
VSAT,ISP's Transmission ,Others,2017/Jun/1,0,0,0,2017,Jun,1
 Colocation  Revenues,,,2017/Jun/1,30324788,30324788,17026641,2017,Jun,1
MNO's Colocation,,,2017/Jun/1,23934657,23934657,29790573,2017,Jun,1
Orange,MNO's Colocation,Orange,2017/Jun/1,7027988,7027988,8848706,2017,Jun,1
Vodafone,MNO's Colocation,Vodafone,2017/Jun/1,9932110,9932110,12870417,2017,Jun,1
Etisalat,MNO's Colocation,Etisalat,2017/Jun/1,6974559,6974559,8071450,2017,Jun,1
ISP's Colocation,,,2017/Jun/1,6390131,6390131,-12763932,2017,Jun,1
Orange Data,ISP's Colocation,Orange,2017/Jun/1,2815156,2815156,-5825080,2017,Jun,1
Vodafone Data,ISP's Colocation,Vodafone,2017/Jun/1,1298279,1298279,-3607323,2017,Jun,1
NOL,ISP's Colocation,Etisalat,2017/Jun/1,750934,750934,976621,2017,Jun,1
EGY Net,ISP's Colocation,Etisalat,2017/Jun/1,969582,969582,-3737107,2017,Jun,1
Noor,ISP's Colocation,Others,2017/Jun/1,395652,395652,-555962,2017,Jun,1
Yalla Misr,ISP's Colocation,Others,2017/Jun/1,160528,160528,-15081,2017,Jun,1
International Services,,,2017/Jun/1,15626024,15626024,35576521,2017,Jun,1
IPT,,,2017/Jun/1,7588236,7588236,25884000,2017,Jun,1
Orange Data,IPT,Orange,2017/Jun/1,3784900,3784900,7200000,2017,Jun,1
Vodafone Data,IPT,Vodafone,2017/Jun/1,3803336,3803336,18684000,2017,Jun,1
NOL,IPT,Etisalat,2017/Jun/1,0,0,0,2017,Jun,1
EGY Net,IPT,Etisalat,2017/Jun/1,0,0,0,2017,Jun,1
Noor,IPT,Others,2017/Jun/1,0,0,0,2017,Jun,1
Yalla Misr,IPT,Others,2017/Jun/1,0,0,0,2017,Jun,1
IPLCs ,,,2017/Jun/1,8037787,8037787,9692521,2017,Jun,1
Orange Data,IPLCs ,Orange,2017/Jun/1,2005418,2005418,2574009,2017,Jun,1
Vodafone Data,IPLCs ,Vodafone,2017/Jun/1,4553578,4553578,4662405,2017,Jun,1
NOL,IPLCs ,Etisalat,2017/Jun/1,1145107,1145107,1286179,2017,Jun,1
Etisalat,IPLCs ,Etisalat,2017/Jun/1,130233,130233,829595,2017,Jun,1
Mena,IPLCs ,Others,2017/Jun/1,203451,203451,340333,2017,Jun,1
Others,IPLCs ,Others,2017/Jun/1,0,0,0,2017,Jun,1
 Access Service,,,2017/Jun/1,84720988,84720988,20204922,2017,Jun,1
Local Loop ,,,2017/Jun/1,2202871,2202871,2318061,2017,Jun,1
Orange Data,Local Loop ,Orange,2017/Jun/1,532132,532132,538432,2017,Jun,1
Vodafone Data,Local Loop ,Vodafone,2017/Jun/1,636334,636334,889930,2017,Jun,1
NOL,Local Loop ,Etisalat,2017/Jun/1,267409,267409,373240,2017,Jun,1
EGY Net,Local Loop ,Etisalat,2017/Jun/1,486897,486897,248925,2017,Jun,1
Noor,Local Loop ,Others,2017/Jun/1,218184,218184,266167,2017,Jun,1
Yalla Misr,Local Loop ,Others,2017/Jun/1,61915,61915,1368,2017,Jun,1
ADSL ,,,2017/Jun/1,4278326,4278326,4445143,2017,Jun,1
Orange Data,ADSL ,Orange,2017/Jun/1,2397547,2397547,2057380,2017,Jun,1
Vodafone Data,ADSL ,Vodafone,2017/Jun/1,1001862,1001862,1353230,2017,Jun,1
NOL,ADSL ,Etisalat,2017/Jun/1,10027,10027,10288,2017,Jun,1
EGY Net,ADSL ,Etisalat,2017/Jun/1,733810,733810,869215,2017,Jun,1
Noor,ADSL ,Others,2017/Jun/1,119322,119322,119584,2017,Jun,1
Yalla Misr,ADSL ,Others,2017/Jun/1,15759,15759,35446,2017,Jun,1
Bit stream ,,,2017/Jun/1,8239790,8239790,13441717,2017,Jun,1
Orange Data,Bit stream ,Orange,2017/Jun/1,4418909,4418909,5819832,2017,Jun,1
Vodafone Data,Bit stream ,Vodafone,2017/Jun/1,1845242,1845242,4609440,2017,Jun,1
NOL,Bit stream ,Etisalat,2017/Jun/1,2399,2399,775,2017,Jun,1
EGY Net,Bit stream ,Etisalat,2017/Jun/1,1559755,1559755,2647519,2017,Jun,1
Noor,Bit stream ,Others,2017/Jun/1,408511,408511,346718,2017,Jun,1
Yalla Misr,Bit stream ,Others,2017/Jun/1,4974,4974,17433,2017,Jun,1
FTTs,,,2017/Jun/1,70000000,70000000,0,2017,Jun,1
Orange,FTTs,Orange,2017/Jun/1,27230143,27230143,0,2017,Jun,1
Vodafone,FTTs,Vodafone,2017/Jun/1,23761032,23761032,0,2017,Jun,1
Etisalat,FTTs,Etisalat,2017/Jun/1,19008826,19008826,0,2017,Jun,1
Fiber Access,,,2017/Jun/1,0,0,0,2017,Jun,1
Orange Data,Fiber Access,Orange,2017/Jun/1,0,0,0,2017,Jun,1
Vodafone Data,Fiber Access,Vodafone,2017/Jun/1,0,0,0,2017,Jun,1
NOL,Fiber Access,Etisalat,2017/Jun/1,0,0,0,2017,Jun,1
EGY Net,Fiber Access,Etisalat,2017/Jun/1,0,0,0,2017,Jun,1
Noor,Fiber Access,Others,2017/Jun/1,0,0,0,2017,Jun,1
INT'L OG Voice services,,,2017/Jun/1,36519010,36519010,38499335,2017,Jun,1
INT'L OG ,,,2017/Jun/1,36519010,36519010,38499335,2017,Jun,1
Orange,INT'L OG ,Orange,2017/Jun/1,11453995,11453995,11953450,2017,Jun,1
Vodafone,INT'L OG ,Vodafone,2017/Jun/1,25055571,25055571,26025618,2017,Jun,1
Etisalat,INT'L OG ,Etisalat,2017/Jun/1,9444,9444,520267,2017,Jun,1
FVNO ,,,2017/Jun/1,0,0,0,2017,Jun,1
Orange,FVNO ,Orange,2017/Jun/1,0,0,0,2017,Jun,1
Vodafone,FVNO ,Vodafone,2017/Jun/1,0,0,0,2017,Jun,1
Etisalat,FVNO ,Etisalat,2017/Jun/1,0,0,0,2017,Jun,1
ITFS,,,2017/Jun/1,0,0,0,2017,Jun,1
Orange,ITFS,Orange,2017/Jun/1,0,0,0,2017,Jun,1
Vodafone,ITFS,Vodafone,2017/Jun/1,0,0,0,2017,Jun,1
Etisalat,ITFS,Etisalat,2017/Jun/1,0,0,0,2017,Jun,1
Total  DWS Revenues ,,,2017/Jul/1,215984181,215984181,274418627,2017,Jul,1
 Infrastructure Revenues,,,2017/Jul/1,165556284,165556284,181054227,2017,Jul,1
 Transmission Revenues,,,2017/Jul/1,119088413,119088413,116017448,2017,Jul,1
MNO's Transmission,,,2017/Jul/1,93546157,93546157,86088985,2017,Jul,1
Orange,MNO's Transmission,Orange,2017/Jul/1,37027924,37027924,30834513,2017,Jul,1
Vodafone,MNO's Transmission,Vodafone,2017/Jul/1,45584367,45584367,45813594,2017,Jul,1
Etisalat,MNO's Transmission,Etisalat,2017/Jul/1,10933866,10933866,9440878,2017,Jul,1
TX IRU ,,,2017/Jul/1,0,0,0,2017,Jul,1
Orange,TX IRU ,Orange,2017/Jul/1,0,0,0,2017,Jul,1
Vodafone,TX IRU ,Vodafone,2017/Jul/1,0,0,0,2017,Jul,1
Etisalat,TX IRU ,Etisalat,2017/Jul/1,0,0,0,2017,Jul,1
ISP's Transmission ,,,2017/Jul/1,25542256,25542256,29928463,2017,Jul,1
Orange Data,ISP's Transmission ,Orange,2017/Jul/1,13086961,13086961,14196029,2017,Jul,1
Vodafone Data,ISP's Transmission ,Vodafone,2017/Jul/1,4314112,4314112,6743196,2017,Jul,1
NOL,ISP's Transmission ,Etisalat,2017/Jul/1,2642659,2642659,5598768,2017,Jul,1
EGY Net,ISP's Transmission ,Etisalat,2017/Jul/1,3634697,3634697,857058,2017,Jul,1
Noor,ISP's Transmission ,Others,2017/Jul/1,1290267,1290267,2495675,2017,Jul,1
Yalla Misr,ISP's Transmission ,Others,2017/Jul/1,573561,573561,37737,2017,Jul,1
VSAT,ISP's Transmission ,Others,2017/Jul/1,0,0,0,2017,Jul,1
 Colocation  Revenues,,,2017/Jul/1,30648909,30648909,36627669,2017,Jul,1
MNO's Colocation,,,2017/Jul/1,24323459,24323459,30207150,2017,Jul,1
Orange,MNO's Colocation,Orange,2017/Jul/1,7143872,7143872,9071048,2017,Jul,1
Vodafone,MNO's Colocation,Vodafone,2017/Jul/1,10089915,10089915,12906111,2017,Jul,1
Etisalat,MNO's Colocation,Etisalat,2017/Jul/1,7089672,7089672,8229991,2017,Jul,1
ISP's Colocation,,,2017/Jul/1,6325450,6325450,6420519,2017,Jul,1
Orange Data,ISP's Colocation,Orange,2017/Jul/1,2786661,2786661,2676090,2017,Jul,1
Vodafone Data,ISP's Colocation,Vodafone,2017/Jul/1,1285138,1285138,2236898,2017,Jul,1
NOL,ISP's Colocation,Etisalat,2017/Jul/1,743333,743333,689290,2017,Jul,1
EGY Net,ISP's Colocation,Etisalat,2017/Jul/1,959768,959768,427226,2017,Jul,1
Noor,ISP's Colocation,Others,2017/Jul/1,391648,391648,355446,2017,Jul,1
Yalla Misr,ISP's Colocation,Others,2017/Jul/1,158903,158903,35570,2017,Jul,1
International Services,,,2017/Jul/1,15818962,15818962,28409110,2017,Jul,1
IPT,,,2017/Jul/1,7600754,7600754,17890894,2017,Jul,1
Orange Data,IPT,Orange,2017/Jul/1,3791144,3791144,8608305,2017,Jul,1
Vodafone Data,IPT,Vodafone,2017/Jul/1,3809610,3809610,9282589,2017,Jul,1
NOL,IPT,Etisalat,2017/Jul/1,0,0,0,2017,Jul,1
EGY Net,IPT,Etisalat,2017/Jul/1,0,0,0,2017,Jul,1
Noor,IPT,Others,2017/Jul/1,0,0,0,2017,Jul,1
Yalla Misr,IPT,Others,2017/Jul/1,0,0,0,2017,Jul,1
IPLCs ,,,2017/Jul/1,8218209,8218209,10518216,2017,Jul,1
Orange Data,IPLCs ,Orange,2017/Jul/1,2050433,2050433,3791356,2017,Jul,1
Vodafone Data,IPLCs ,Vodafone,2017/Jul/1,4655791,4655791,3663205,2017,Jul,1
NOL,IPLCs ,Etisalat,2017/Jul/1,1170810,1170810,1141187,2017,Jul,1
Etisalat,IPLCs ,Etisalat,2017/Jul/1,133157,133157,1582135,2017,Jul,1
Mena,IPLCs ,Others,2017/Jul/1,208018,208018,340333,2017,Jul,1
Others,IPLCs ,Others,2017/Jul/1,0,0,0,2017,Jul,1
 Access Service,,,2017/Jul/1,12720227,12720227,21405051,2017,Jul,1
Local Loop ,,,2017/Jul/1,2165423,2165423,2303869,2017,Jul,1
Orange Data,Local Loop ,Orange,2017/Jul/1,523086,523086,444306,2017,Jul,1
Vodafone Data,Local Loop ,Vodafone,2017/Jul/1,625517,625517,1265523,2017,Jul,1
NOL,Local Loop ,Etisalat,2017/Jul/1,262863,262863,249008,2017,Jul,1
EGY Net,Local Loop ,Etisalat,2017/Jul/1,478619,478619,213648,2017,Jul,1
Noor,Local Loop ,Others,2017/Jul/1,214475,214475,129764,2017,Jul,1
Yalla Misr,Local Loop ,Others,2017/Jul/1,60862,60862,1620,2017,Jul,1
ADSL ,,,2017/Jul/1,4199177,4199177,4494093,2017,Jul,1
Orange Data,ADSL ,Orange,2017/Jul/1,2353192,2353192,2034360,2017,Jul,1
Vodafone Data,ADSL ,Vodafone,2017/Jul/1,983328,983328,1400400,2017,Jul,1
NOL,ADSL ,Etisalat,2017/Jul/1,9841,9841,8190,2017,Jul,1
EGY Net,ADSL ,Etisalat,2017/Jul/1,720234,720234,894935,2017,Jul,1
Noor,ADSL ,Others,2017/Jul/1,117114,117114,120597,2017,Jul,1
Yalla Misr,ADSL ,Others,2017/Jul/1,15468,15468,35611,2017,Jul,1
Bit stream ,,,2017/Jul/1,6355627,6355627,14607089,2017,Jul,1
Orange Data,Bit stream ,Orange,2017/Jul/1,3408453,3408453,6217466,2017,Jul,1
Vodafone Data,Bit stream ,Vodafone,2017/Jul/1,1423297,1423297,5101980,2017,Jul,1
NOL,Bit stream ,Etisalat,2017/Jul/1,1850,1850,775,2017,Jul,1
EGY Net,Bit stream ,Etisalat,2017/Jul/1,1203091,1203091,2894204,2017,Jul,1
Noor,Bit stream ,Others,2017/Jul/1,315098,315098,382403,2017,Jul,1
Yalla Misr,Bit stream ,Others,2017/Jul/1,3837,3837,10261,2017,Jul,1
FTTs,,,2017/Jul/1,0,0,0,2017,Jul,1
Orange,FTTs,Orange,2017/Jul/1,0,0,0,2017,Jul,1
Vodafone,FTTs,Vodafone,2017/Jul/1,0,0,0,2017,Jul,1
Etisalat,FTTs,Etisalat,2017/Jul/1,0,0,0,2017,Jul,1
Fiber Access,,,2017/Jul/1,0,0,0,2017,Jul,1
Orange Data,Fiber Access,Orange,2017/Jul/1,0,0,0,2017,Jul,1
Vodafone Data,Fiber Access,Vodafone,2017/Jul/1,0,0,0,2017,Jul,1
NOL,Fiber Access,Etisalat,2017/Jul/1,0,0,0,2017,Jul,1
EGY Net,Fiber Access,Etisalat,2017/Jul/1,0,0,0,2017,Jul,1
Noor,Fiber Access,Others,2017/Jul/1,0,0,0,2017,Jul,1
INT'L OG Voice services,,,2017/Jul/1,37707671,37707671,71959349,2017,Jul,1
INT'L OG ,,,2017/Jul/1,37707671,37707671,71959349,2017,Jul,1
Orange,INT'L OG ,Orange,2017/Jul/1,12145185,12145185,12709273,2017,Jul,1
Vodafone,INT'L OG ,Vodafone,2017/Jul/1,25562266,25562266,58758483,2017,Jul,1
Etisalat,INT'L OG ,Etisalat,2017/Jul/1,219,219,491593,2017,Jul,1
FVNO ,,,2017/Jul/1,0,0,0,2017,Jul,1
Orange,FVNO ,Orange,2017/Jul/1,0,0,0,2017,Jul,1
Vodafone,FVNO ,Vodafone,2017/Jul/1,0,0,0,2017,Jul,1
Etisalat,FVNO ,Etisalat,2017/Jul/1,0,0,0,2017,Jul,1
ITFS,,,2017/Jul/1,0,0,18758483,2017,Jul,1
Orange,ITFS,Orange,2017/Jul/1,0,0,0,2017,Jul,1
Vodafone,ITFS,Vodafone,2017/Jul/1,0,0,0,2017,Jul,1
Etisalat,ITFS,Etisalat,2017/Jul/1,0,0,0,2017,Jul,1
Total  DWS Revenues ,,,2017/Aug/1,292148245,292148245,274719392,2017,Aug,1
 Infrastructure Revenues,,,2017/Aug/1,243056784,243056784,204147783,2017,Aug,1
 Transmission Revenues,,,2017/Aug/1,196059564,196059564,169397391,2017,Aug,1
MNO's Transmission,,,2017/Aug/1,95081745,95081745,90782576,2017,Aug,1
Orange,MNO's Transmission,Orange,2017/Aug/1,37651438,37651438,31460986,2017,Aug,1
Vodafone,MNO's Transmission,Vodafone,2017/Aug/1,46295305,46295305,49848307,2017,Aug,1
Etisalat,MNO's Transmission,Etisalat,2017/Aug/1,11135001,11135001,9473283,2017,Aug,1
TX IRU ,,,2017/Aug/1,75180140,75180140,46755860,2017,Aug,1
Orange,TX IRU ,Orange,2017/Aug/1,22800000,22800000,0,2017,Aug,1
Vodafone,TX IRU ,Vodafone,2017/Aug/1,25212000,25212000,25212000,2017,Aug,1
Etisalat,TX IRU ,Etisalat,2017/Aug/1,27168140,27168140,21543860,2017,Aug,1
ISP's Transmission ,,,2017/Aug/1,25797679,25797679,31858955,2017,Aug,1
Orange Data,ISP's Transmission ,Orange,2017/Aug/1,13217831,13217831,16017062,2017,Aug,1
Vodafone Data,ISP's Transmission ,Vodafone,2017/Aug/1,4357253,4357253,7347711,2017,Aug,1
NOL,ISP's Transmission ,Etisalat,2017/Aug/1,2669085,2669085,5795050,2017,Aug,1
EGY Net,ISP's Transmission ,Etisalat,2017/Aug/1,3671044,3671044,901181,2017,Aug,1
Noor,ISP's Transmission ,Others,2017/Aug/1,1303170,1303170,1759313,2017,Aug,1
Yalla Misr,ISP's Transmission ,Others,2017/Aug/1,579296,579296,38637,2017,Aug,1
VSAT,ISP's Transmission ,Others,2017/Aug/1,0,0,0,2017,Aug,1
 Colocation  Revenues,,,2017/Aug/1,30979417,30979417,7678352,2017,Aug,1
MNO's Colocation,,,2017/Aug/1,24717873,24717873,1135676,2017,Aug,1
Orange,MNO's Colocation,Orange,2017/Aug/1,7261429,7261429,-5447014,2017,Aug,1
Vodafone,MNO's Colocation,Vodafone,2017/Aug/1,10249998,10249998,12956718,2017,Aug,1
Etisalat,MNO's Colocation,Etisalat,2017/Aug/1,7206446,7206446,-6374029,2017,Aug,1
ISP's Colocation,,,2017/Aug/1,6261544,6261544,6542676,2017,Aug,1
Orange Data,ISP's Colocation,Orange,2017/Aug/1,2758508,2758508,2767460,2017,Aug,1
Vodafone Data,ISP's Colocation,Vodafone,2017/Aug/1,1272154,1272154,2230185,2017,Aug,1
NOL,ISP's Colocation,Etisalat,2017/Aug/1,735823,735823,697019,2017,Aug,1
EGY Net,ISP's Colocation,Etisalat,2017/Aug/1,950071,950071,428224,2017,Aug,1
Noor,ISP's Colocation,Others,2017/Aug/1,387691,387691,382858,2017,Aug,1
Yalla Misr,ISP's Colocation,Others,2017/Aug/1,157297,157297,36929,2017,Aug,1
International Services,,,2017/Aug/1,16017803,16017803,27072040,2017,Aug,1
IPT,,,2017/Aug/1,7613295,7613295,17990730,2017,Aug,1
Orange Data,IPT,Orange,2017/Aug/1,3797399,3797399,8579650,2017,Aug,1
Vodafone Data,IPT,Vodafone,2017/Aug/1,3815896,3815896,9411080,2017,Aug,1
NOL,IPT,Etisalat,2017/Aug/1,0,0,0,2017,Aug,1
EGY Net,IPT,Etisalat,2017/Aug/1,0,0,0,2017,Aug,1
Noor,IPT,Others,2017/Aug/1,0,0,0,2017,Aug,1
Yalla Misr,IPT,Others,2017/Aug/1,0,0,0,2017,Aug,1
IPLCs ,,,2017/Aug/1,8404508,8404508,9081310,2017,Aug,1
Orange Data,IPLCs ,Orange,2017/Aug/1,2096915,2096915,2823371,2017,Aug,1
Vodafone Data,IPLCs ,Vodafone,2017/Aug/1,4761333,4761333,3942701,2017,Aug,1
NOL,IPLCs ,Etisalat,2017/Aug/1,1197352,1197352,1291451,2017,Aug,1
Etisalat,IPLCs ,Etisalat,2017/Aug/1,136175,136175,683453,2017,Aug,1
Mena,IPLCs ,Others,2017/Aug/1,212733,212733,340333,2017,Aug,1
Others,IPLCs ,Others,2017/Aug/1,0,0,0,2017,Aug,1
 Access Service,,,2017/Aug/1,12691420,12691420,23274388,2017,Aug,1
Local Loop ,,,2017/Aug/1,2128610,2128610,2512584,2017,Aug,1
Orange Data,Local Loop ,Orange,2017/Aug/1,514194,514194,523776,2017,Aug,1
Vodafone Data,Local Loop ,Vodafone,2017/Aug/1,614883,614883,1334002,2017,Aug,1
NOL,Local Loop ,Etisalat,2017/Aug/1,258395,258395,241485,2017,Aug,1
EGY Net,Local Loop ,Etisalat,2017/Aug/1,470483,470483,215786,2017,Aug,1
Noor,Local Loop ,Others,2017/Aug/1,210829,210829,195555,2017,Aug,1
Yalla Misr,Local Loop ,Others,2017/Aug/1,59827,59827,1980,2017,Aug,1
ADSL ,,,2017/Aug/1,4121492,4121492,4479284,2017,Aug,1
Orange Data,ADSL ,Orange,2017/Aug/1,2309658,2309658,1983065,2017,Aug,1
Vodafone Data,ADSL ,Vodafone,2017/Aug/1,965136,965136,1444412,2017,Aug,1
NOL,ADSL ,Etisalat,2017/Aug/1,9659,9659,8110,2017,Aug,1
EGY Net,ADSL ,Etisalat,2017/Aug/1,706910,706910,910330,2017,Aug,1
Noor,ADSL ,Others,2017/Aug/1,114948,114948,120825,2017,Aug,1
Yalla Misr,ADSL ,Others,2017/Aug/1,15181,15181,12542,2017,Aug,1
Bit stream ,,,2017/Aug/1,6441317,6441317,16282520,2017,Aug,1
Orange Data,Bit stream ,Orange,2017/Aug/1,3454408,3454408,5344089,2017,Aug,1
Vodafone Data,Bit stream ,Vodafone,2017/Aug/1,1442487,1442487,6465276,2017,Aug,1
NOL,Bit stream ,Etisalat,2017/Aug/1,1875,1875,775,2017,Aug,1
EGY Net,Bit stream ,Etisalat,2017/Aug/1,1219312,1219312,3670133,2017,Aug,1
Noor,Bit stream ,Others,2017/Aug/1,319347,319347,794035,2017,Aug,1
Yalla Misr,Bit stream ,Others,2017/Aug/1,3888,3888,8212,2017,Aug,1
FTTs,,,2017/Aug/1,0,0,0,2017,Aug,1
Orange,FTTs,Orange,2017/Aug/1,0,0,0,2017,Aug,1
Vodafone,FTTs,Vodafone,2017/Aug/1,0,0,0,2017,Aug,1
Etisalat,FTTs,Etisalat,2017/Aug/1,0,0,0,2017,Aug,1
Fiber Access,,,2017/Aug/1,0,0,0,2017,Aug,1
Orange Data,Fiber Access,Orange,2017/Aug/1,0,0,0,2017,Aug,1
Vodafone Data,Fiber Access,Vodafone,2017/Aug/1,0,0,0,2017,Aug,1
NOL,Fiber Access,Etisalat,2017/Aug/1,0,0,0,2017,Aug,1
EGY Net,Fiber Access,Etisalat,2017/Aug/1,0,0,0,2017,Aug,1
Noor,Fiber Access,Others,2017/Aug/1,0,0,0,2017,Aug,1
INT'L OG Voice services,,,2017/Aug/1,36400041,36400041,47297221,2017,Aug,1
INT'L OG ,,,2017/Aug/1,36400041,36400041,47297221,2017,Aug,1
Orange,INT'L OG ,Orange,2017/Aug/1,12059682,12059682,13987887,2017,Aug,1
Vodafone,INT'L OG ,Vodafone,2017/Aug/1,24334853,24334853,32972755,2017,Aug,1
Etisalat,INT'L OG ,Etisalat,2017/Aug/1,5506,5506,336579,2017,Aug,1
FVNO ,,,2017/Aug/1,0,0,0,2017,Aug,1
Orange,FVNO ,Orange,2017/Aug/1,0,0,0,2017,Aug,1
Vodafone,FVNO ,Vodafone,2017/Aug/1,0,0,0,2017,Aug,1
Etisalat,FVNO ,Etisalat,2017/Aug/1,0,0,0,2017,Aug,1
ITFS,,,2017/Aug/1,0,0,0,2017,Aug,1
Orange,ITFS,Orange,2017/Aug/1,0,0,0,2017,Aug,1
Vodafone,ITFS,Vodafone,2017/Aug/1,0,0,0,2017,Aug,1
Etisalat,ITFS,Etisalat,2017/Aug/1,0,0,0,2017,Aug,1
Total  DWS Revenues ,,,2017/Sep/1,219923199,219923199,216797165,2017,Sep,1
 Infrastructure Revenues,,,2017/Sep/1,170234278,170234278,160899375,2017,Sep,1
 Transmission Revenues,,,2017/Sep/1,122695155,122695155,125027863,2017,Sep,1
MNO's Transmission,,,2017/Sep/1,96639499,96639499,92196429,2017,Sep,1
Orange,MNO's Transmission,Orange,2017/Sep/1,38283953,38283953,31397827,2017,Sep,1
Vodafone,MNO's Transmission,Vodafone,2017/Sep/1,47016507,47016507,51207641,2017,Sep,1
Etisalat,MNO's Transmission,Etisalat,2017/Sep/1,11339040,11339040,9590961,2017,Sep,1
TX IRU ,,,2017/Sep/1,0,0,0,2017,Sep,1
Orange,TX IRU ,Orange,2017/Sep/1,0,0,0,2017,Sep,1
Vodafone,TX IRU ,Vodafone,2017/Sep/1,0,0,0,2017,Sep,1
Etisalat,TX IRU ,Etisalat,2017/Sep/1,0,0,0,2017,Sep,1
ISP's Transmission ,,,2017/Sep/1,26055655,26055655,32831434,2017,Sep,1
Orange Data,ISP's Transmission ,Orange,2017/Sep/1,13350009,13350009,16978562,2017,Sep,1
Vodafone Data,ISP's Transmission ,Vodafone,2017/Sep/1,4400825,4400825,7573231,2017,Sep,1
NOL,ISP's Transmission ,Etisalat,2017/Sep/1,2695776,2695776,5549627,2017,Sep,1
EGY Net,ISP's Transmission ,Etisalat,2017/Sep/1,3707754,3707754,894231,2017,Sep,1
Noor,ISP's Transmission ,Others,2017/Sep/1,1316201,1316201,1797145,2017,Sep,1
Yalla Misr,ISP's Transmission ,Others,2017/Sep/1,585089,585089,38637,2017,Sep,1
VSAT,ISP's Transmission ,Others,2017/Sep/1,0,0,0,2017,Sep,1
 Colocation  Revenues,,,2017/Sep/1,31316386,31316386,8970124,2017,Sep,1
MNO's Colocation,,,2017/Sep/1,25117981,25117981,29057062,2017,Sep,1
Orange,MNO's Colocation,Orange,2017/Sep/1,7380683,7380683,8843662,2017,Sep,1
Vodafone,MNO's Colocation,Vodafone,2017/Sep/1,10412391,10412391,13006719,2017,Sep,1
Etisalat,MNO's Colocation,Etisalat,2017/Sep/1,7324906,7324906,7206680,2017,Sep,1
ISP's Colocation,,,2017/Sep/1,6198406,6198406,-20086938,2017,Sep,1
Orange Data,ISP's Colocation,Orange,2017/Sep/1,2730692,2730692,-9223921,2017,Sep,1
Vodafone Data,ISP's Colocation,Vodafone,2017/Sep/1,1259326,1259326,-6190075,2017,Sep,1
NOL,ISP's Colocation,Etisalat,2017/Sep/1,728403,728403,-4026666,2017,Sep,1
EGY Net,ISP's Colocation,Etisalat,2017/Sep/1,940491,940491,428224,2017,Sep,1
Noor,ISP's Colocation,Others,2017/Sep/1,383782,383782,-1003229,2017,Sep,1
Yalla Misr,ISP's Colocation,Others,2017/Sep/1,155711,155711,-71270,2017,Sep,1
International Services,,,2017/Sep/1,16222737,16222737,26901388,2017,Sep,1
IPT,,,2017/Sep/1,7625861,7625861,18033209,2017,Sep,1
Orange Data,IPT,Orange,2017/Sep/1,3803666,3803666,8565100,2017,Sep,1
Vodafone Data,IPT,Vodafone,2017/Sep/1,3822194,3822194,9468109,2017,Sep,1
NOL,IPT,Etisalat,2017/Sep/1,0,0,0,2017,Sep,1
EGY Net,IPT,Etisalat,2017/Sep/1,0,0,0,2017,Sep,1
Noor,IPT,Others,2017/Sep/1,0,0,0,2017,Sep,1
Yalla Misr,IPT,Others,2017/Sep/1,0,0,0,2017,Sep,1
IPLCs ,,,2017/Sep/1,8596877,8596877,8868180,2017,Sep,1
Orange Data,IPLCs ,Orange,2017/Sep/1,2144910,2144910,2822890,2017,Sep,1
Vodafone Data,IPLCs ,Vodafone,2017/Sep/1,4870314,4870314,3693111,2017,Sep,1
NOL,IPLCs ,Etisalat,2017/Sep/1,1224757,1224757,1329551,2017,Sep,1
Etisalat,IPLCs ,Etisalat,2017/Sep/1,139292,139292,682294,2017,Sep,1
Mena,IPLCs ,Others,2017/Sep/1,217602,217602,340333,2017,Sep,1
Others,IPLCs ,Others,2017/Sep/1,0,0,0,2017,Sep,1
 Access Service,,,2017/Sep/1,12666047,12666047,24862272,2017,Sep,1
Local Loop ,,,2017/Sep/1,2092424,2092424,3381259,2017,Sep,1
